ADM1_EN,PopGroup,NSO,WorldPop
Kyivska,F30_34,207335,213301
Kyivska,F35_39,227696,213022
Kyivska,F40_44,196684,184984
Kyivska,F45_49,177440,165369
Kyivska,F50_54,152332,156470
Kyivska,F55_59,177419,185335
Kyivska,F60_64,175110,182987
Kyivska,F65_69,159847,171264
Kyivska,F70_74,116359,110103
Kyivska,F75_79,80472,73339
Kyivska,F80Plus,110258,113627
Kyivska,M0_4,136490,130512
Kyivska,M5_9,144174,131648
Kyivska,M10_14,128961,112155
Kyivska,M15_19,109160,102568
Kyivska,M20_24,119602,116733
Kyivska,M25_29,149210,147382
Kyivska,M30_34,189603,208055
Kyivska,M35_39,212791,199760
Kyivska,M40_44,178355,171735
Kyivska,M45_49,159763,145121
Kyivska,M50_54,131978,123867
Kyivska,M55_59,134915,136434
Kyivska,M60_64,120675,127684
Kyivska,M65_69,99477,109907
Kyivska,M70_74,66101,62363
Kyivska,M75_79,38483,39460
Kyivska,M80Plus,46022,41279
Kyivska,T0_4,263854,253316
Kyivska,T5_9,279557,255485
Kyivska,T10_14,250676,217557
Kyivska,T15_19,213086,203327
Kyivska,T20_24,233257,230369
Kyivska,T25_29,301773,295706
Kyivska,T30_34,396938,421356
Kyivska,T35_39,440487,412782
Kyivska,T40_44,375039,356719
Kyivska,T45_49,337203,310490
Kyivska,T50_54,284310,280338
Kyivska,T55_59,312334,321769
Kyivska,T60_64,295785,310671
Kyivska,T65_69,259324,281171
Kyivska,T70_74,182460,172466
Kyivska,T75_79,118955,112799
Kyivska,T80Plus,156280,154905
Luhanska,F_T,1154744,1137265
Luhanska,M_T,976572,943455
Luhanska,TotalPop,2131316,2080720
Luhanska,F0_4,13408,44900
Luhanska,F5_9,44876,47364
Luhanska,F10_14,47480,46032
Luhanska,F15_19,37546,37484
Luhanska,F20_24,38945,45228
Luhanska,F25_29,58792,65162
Luhanska,F30_34,85078,85767
Luhanska,F35_39,90437,84148
Luhanska,F40_44,80321,79458
Luhanska,F45_49,76418,78839
Luhanska,F50_54,74365,81689
Luhanska,F55_59,95704,93469
Luhanska,F60_64,98087,90939
Luhanska,F65_69,87511,75283
Luhanska,F70_74,64097,66166
Luhanska,F75_79,50048,46185
Luhanska,F80Plus,111631,69153
Luhanska,M0_4,14327,48007
Luhanska,M5_9,48341,50037
Luhanska,M10_14,50695,48866
Luhanska,M15_19,40213,39758
Luhanska,M20_24,42143,48214
Luhanska,M25_29,63775,68507
Luhanska,M30_34,92022,87241
Luhanska,M35_39,93481,84148
Luhanska,M40_44,81003,74241
Luhanska,M45_49,72738,67917
Luhanska,M50_54,64350,67784
Luhanska,M55_59,77655,71906
Luhanska,M60_64,74555,63508
Luhanska,M65_69,58221,43977
Luhanska,M70_74,36668,32046
Luhanska,M75_79,22181,21829
Luhanska,M80Plus,44204,25469
Luhanska,T0_4,27735,92907
Luhanska,T5_9,93217,97402
Luhanska,T10_14,98175,94898
Luhanska,T15_19,77759,77242
Luhanska,T20_24,81088,93442
Luhanska,T25_29,122567,133669
Luhanska,T30_34,177100,173009
Luhanska,T35_39,183918,168295
Luhanska,T40_44,161324,153699
Luhanska,T45_49,149156,146756
Luhanska,T50_54,138715,149473
Luhanska,T55_59,173359,165376
Luhanska,T60_64,172642,154446
Luhanska,T65_69,145732,119259
Luhanska,T70_74,100765,98212
Luhanska,T75_79,72229,68013
Luhanska,T80Plus,155835,94622
Lvivska,F_T,1312114,1305726
Lvivska,M_T,1181600,1155225
Lvivska,TotalPop,2493714,2460950
Lvivska,F0_4,60412,64670
Lvivska,F5_9,71185,71629
Lvivska,F10_14,67203,73181
Lvivska,F15_19,61339,61376
Lvivska,F20_24,71349,61909
Lvivska,F25_29,86122,73986
Lvivska,F30_34,100541,97019
Lvivska,F35_39,100277,96947
Lvivska,F40_44,88108,94817
Lvivska,F45_49,86822,89730
Lvivska,F50_54,84265,84148
Lvivska,F55_59,97212,88460
Lvivska,F60_64,93220,78821
Lvivska,F65_69,72022,93512
